origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2011-08-17,INDPRO,2011-08-31,0,US,quantile,0.05,92.2617
2011-08-17,INDPRO,2011-08-31,0,US,quantile,0.1,92.833
2011-08-17,INDPRO,2011-08-31,0,US,quantile,0.5,94.8771
2011-08-17,INDPRO,2011-08-31,0,US,quantile,0.9,96.9661
2011-08-17,INDPRO,2011-08-31,0,US,quantile,0.95,97.5666
2011-08-17,INDPRO,2011-08-31,0,US,mean,,94.8771
2011-08-17,INDPRO,2011-09-30,1,US,quantile,0.05,90.2962
2011-08-17,INDPRO,2011-09-30,1,US,quantile,0.1,91.3151
2011-08-17,INDPRO,2011-09-30,1,US,quantile,0.5,95.0021
2011-08-17,INDPRO,2011-09-30,1,US,quantile,0.9,98.8379
2011-08-17,INDPRO,2011-09-30,1,US,quantile,0.95,99.9532
2011-08-17,INDPRO,2011-09-30,1,US,mean,,95.0021
2011-08-17,INDPRO,2011-10-31,2,US,quantile,0.05,88.5319
2011-08-17,INDPRO,2011-10-31,2,US,quantile,0.1,89.9355
2011-08-17,INDPRO,2011-10-31,2,US,quantile,0.5,95.0668
2011-08-17,INDPRO,2011-10-31,2,US,quantile,0.9,100.4909
2011-08-17,INDPRO,2011-10-31,2,US,quantile,0.95,102.0841
2011-08-17,INDPRO,2011-10-31,2,US,mean,,95.0668
2011-08-17,INDPRO,2011-11-30,3,US,quantile,0.05,86.9808
2011-08-17,INDPRO,2011-11-30,3,US,quantile,0.1,88.7123
2011-08-17,INDPRO,2011-11-30,3,US,quantile,0.5,95.1004
2011-08-17,INDPRO,2011-11-30,3,US,quantile,0.9,101.9484
2011-08-17,INDPRO,2011-11-30,3,US,quantile,0.95,103.9779
2011-08-17,INDPRO,2011-11-30,3,US,mean,,95.1004
2011-08-17,INDPRO,2011-12-31,4,US,quantile,0.05,85.6155
2011-08-17,INDPRO,2011-12-31,4,US,quantile,0.1,87.629
2011-08-17,INDPRO,2011-12-31,4,US,quantile,0.5,95.1177
2011-08-17,INDPRO,2011-12-31,4,US,quantile,0.9,103.2464
2011-08-17,INDPRO,2011-12-31,4,US,quantile,0.95,105.6746
2011-08-17,INDPRO,2011-12-31,4,US,mean,,95.1177
2011-08-17,CPIAUCSL,2011-08-31,0,US,quantile,0.05,225.0067
2011-08-17,CPIAUCSL,2011-08-31,0,US,quantile,0.1,225.2354
2011-08-17,CPIAUCSL,2011-08-31,0,US,quantile,0.5,226.0439
2011-08-17,CPIAUCSL,2011-08-31,0,US,quantile,0.9,226.8554
2011-08-17,CPIAUCSL,2011-08-31,0,US,quantile,0.95,227.086
2011-08-17,CPIAUCSL,2011-08-31,0,US,mean,,226.0439
2011-08-17,CPIAUCSL,2011-09-30,1,US,quantile,0.05,224.7913
2011-08-17,CPIAUCSL,2011-09-30,1,US,quantile,0.1,225.2024
2011-08-17,CPIAUCSL,2011-09-30,1,US,quantile,0.5,226.6585
2011-08-17,CPIAUCSL,2011-09-30,1,US,quantile,0.9,228.1241
2011-08-17,CPIAUCSL,2011-09-30,1,US,quantile,0.95,228.5413
2011-08-17,CPIAUCSL,2011-09-30,1,US,mean,,226.6585
2011-08-17,CPIAUCSL,2011-10-31,2,US,quantile,0.05,224.6369
2011-08-17,CPIAUCSL,2011-10-31,2,US,quantile,0.1,225.2169
2011-08-17,CPIAUCSL,2011-10-31,2,US,quantile,0.5,227.2748
2011-08-17,CPIAUCSL,2011-10-31,2,US,quantile,0.9,229.3514
2011-08-17,CPIAUCSL,2011-10-31,2,US,quantile,0.95,229.9436
2011-08-17,CPIAUCSL,2011-10-31,2,US,mean,,227.2748
2011-08-17,CPIAUCSL,2011-11-30,3,US,quantile,0.05,224.4742
2011-08-17,CPIAUCSL,2011-11-30,3,US,quantile,0.1,225.2248
2011-08-17,CPIAUCSL,2011-11-30,3,US,quantile,0.5,227.8927
2011-08-17,CPIAUCSL,2011-11-30,3,US,quantile,0.9,230.5922
2011-08-17,CPIAUCSL,2011-11-30,3,US,quantile,0.95,231.3632
2011-08-17,CPIAUCSL,2011-11-30,3,US,mean,,227.8927
2011-08-17,CPIAUCSL,2011-12-31,4,US,quantile,0.05,224.2855
2011-08-17,CPIAUCSL,2011-12-31,4,US,quantile,0.1,225.2123
2011-08-17,CPIAUCSL,2011-12-31,4,US,quantile,0.5,228.5123
2011-08-17,CPIAUCSL,2011-12-31,4,US,quantile,0.9,231.8606
2011-08-17,CPIAUCSL,2011-12-31,4,US,quantile,0.95,232.8187
2011-08-17,CPIAUCSL,2011-12-31,4,US,mean,,228.5123
2011-08-17,PCEPI,2011-08-31,0,US,quantile,0.05,92.9119
2011-08-17,PCEPI,2011-08-31,0,US,quantile,0.1,92.9683
2011-08-17,PCEPI,2011-08-31,0,US,quantile,0.5,93.1673
2011-08-17,PCEPI,2011-08-31,0,US,quantile,0.9,93.3668
2011-08-17,PCEPI,2011-08-31,0,US,quantile,0.95,93.4235
2011-08-17,PCEPI,2011-08-31,0,US,mean,,93.1673
2011-08-17,PCEPI,2011-09-30,1,US,quantile,0.05,92.8933
2011-08-17,PCEPI,2011-09-30,1,US,quantile,0.1,92.9963
2011-08-17,PCEPI,2011-09-30,1,US,quantile,0.5,93.3604
2011-08-17,PCEPI,2011-09-30,1,US,quantile,0.9,93.7259
2011-08-17,PCEPI,2011-09-30,1,US,quantile,0.95,93.8298
2011-08-17,PCEPI,2011-09-30,1,US,mean,,93.3604
2011-08-17,PCEPI,2011-10-31,2,US,quantile,0.05,92.893
2011-08-17,PCEPI,2011-10-31,2,US,quantile,0.1,93.0387
2011-08-17,PCEPI,2011-10-31,2,US,quantile,0.5,93.5545
2011-08-17,PCEPI,2011-10-31,2,US,quantile,0.9,94.0731
2011-08-17,PCEPI,2011-10-31,2,US,quantile,0.95,94.2206
2011-08-17,PCEPI,2011-10-31,2,US,mean,,93.5545
2011-08-17,PCEPI,2011-11-30,3,US,quantile,0.05,92.9013
2011-08-17,PCEPI,2011-11-30,3,US,quantile,0.1,93.0879
2011-08-17,PCEPI,2011-11-30,3,US,quantile,0.5,93.7491
2011-08-17,PCEPI,2011-11-30,3,US,quantile,0.9,94.415
2011-08-17,PCEPI,2011-11-30,3,US,quantile,0.95,94.6046
2011-08-17,PCEPI,2011-11-30,3,US,mean,,93.7491
2011-08-17,PCEPI,2011-12-31,4,US,quantile,0.05,92.9122
2011-08-17,PCEPI,2011-12-31,4,US,quantile,0.1,93.1392
2011-08-17,PCEPI,2011-12-31,4,US,quantile,0.5,93.9442
2011-08-17,PCEPI,2011-12-31,4,US,quantile,0.9,94.7561
2011-08-17,PCEPI,2011-12-31,4,US,quantile,0.95,94.9876
2011-08-17,PCEPI,2011-12-31,4,US,mean,,93.9442
2011-08-17,UNRATE,2011-08-31,0,US,quantile,0.05,8.664
2011-08-17,UNRATE,2011-08-31,0,US,quantile,0.1,8.7363
2011-08-17,UNRATE,2011-08-31,0,US,quantile,0.5,8.9912
2011-08-17,UNRATE,2011-08-31,0,US,quantile,0.9,9.2462
2011-08-17,UNRATE,2011-08-31,0,US,quantile,0.95,9.3185
2011-08-17,UNRATE,2011-08-31,0,US,mean,,8.9912
2011-08-17,UNRATE,2011-09-30,1,US,quantile,0.05,8.5302
2011-08-17,UNRATE,2011-09-30,1,US,quantile,0.1,8.6337
2011-08-17,UNRATE,2011-09-30,1,US,quantile,0.5,8.9987
2011-08-17,UNRATE,2011-09-30,1,US,quantile,0.9,9.3638
2011-08-17,UNRATE,2011-09-30,1,US,quantile,0.95,9.4672
2011-08-17,UNRATE,2011-09-30,1,US,mean,,8.9987
