origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.01,101.0849
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.025,101.2753
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.05,101.4181
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.1,101.5476
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.15,101.6553
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.2,101.7092
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.25,101.7463
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.3,101.79
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.35,101.8316
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.4,101.8707
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.45,101.8977
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.5,101.9246
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.55,101.9624
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.6,101.994
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.65,102.0323
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.7,102.0747
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.75,102.1131
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.8,102.1669
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.85,102.2355
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.9,102.3235
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.95,102.4737
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.975,102.6037
2008-03-17,INDPRO,2008-03-31,0,US,quantile,0.99,102.8382
2008-03-17,INDPRO,2008-03-31,0,US,median,,101.8438
2008-03-17,INDPRO,2008-04-30,1,US,quantile,0.01,100.3961
2008-03-17,INDPRO,2008-04-30,1,US,quantile,0.025,100.9282
2008-03-17,INDPRO,2008-04-30,1,US,quantile,0.05,101.1454
2008-03-17,INDPRO,2008-04-30,1,US,quantile,0.1,101.4129
2008-03-17,INDPRO,2008-04-30,1,US,quantile,0.15,101.5582
2008-03-17,INDPRO,2008-04-30,1,US,quantile,0.2,101.6822
2008-03-17,INDPRO,2008-04-30,1,US,quantile,0.25,101.7511
2008-03-17,INDPRO,2008-04-30,1,US,quantile,0.3,101.8088
2008-03-17,INDPRO,2008-04-30,1,US,quantile,0.35,101.8669
2008-03-17,INDPRO,2008-04-30,1,US,quantile,0.4,101.9246
2008-03-17,INDPRO,2008-04-30,1,US,quantile,0.45,101.9785
2008-03-17,INDPRO,2008-04-30,1,US,quantile,0.5,102.0323
