origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2011-01-17,CPIAUCSL,2011-01-31,0,US,quantile,0.05,0.00055
2011-01-17,CPIAUCSL,2011-01-31,0,US,quantile,0.1,0.00075
2011-01-17,CPIAUCSL,2011-01-31,0,US,quantile,0.5,0.001728
2011-01-17,CPIAUCSL,2011-01-31,0,US,quantile,0.9,0.003583
2011-01-17,CPIAUCSL,2011-01-31,0,US,quantile,0.95,0.004418
2011-01-17,CPIAUCSL,2011-02-28,1,US,quantile,0.05,0.0004
2011-01-17,CPIAUCSL,2011-02-28,1,US,quantile,0.1,0.00065
2011-01-17,CPIAUCSL,2011-02-28,1,US,quantile,0.5,0.001678
2011-01-17,CPIAUCSL,2011-02-28,1,US,quantile,0.9,0.003383
2011-01-17,CPIAUCSL,2011-02-28,1,US,quantile,0.95,0.004168
2011-01-17,CPIAUCSL,2011-03-31,2,US,quantile,0.05,0.0004
2011-01-17,CPIAUCSL,2011-03-31,2,US,quantile,0.1,0.00065
2011-01-17,CPIAUCSL,2011-03-31,2,US,quantile,0.5,0.001689
2011-01-17,CPIAUCSL,2011-03-31,2,US,quantile,0.9,0.003439
2011-01-17,CPIAUCSL,2011-03-31,2,US,quantile,0.95,0.004274
2011-01-17,CPIAUCSL,2011-04-30,3,US,quantile,0.05,0.00045
2011-01-17,CPIAUCSL,2011-04-30,3,US,quantile,0.1,0.00065
2011-01-17,CPIAUCSL,2011-04-30,3,US,quantile,0.5,0.00168
2011-01-17,CPIAUCSL,2011-04-30,3,US,quantile,0.9,0.003423
2011-01-17,CPIAUCSL,2011-04-30,3,US,quantile,0.95,0.00425
2011-01-17,CPIAUCSL,2011-05-31,4,US,quantile,0.05,0.00045
2011-01-17,CPIAUCSL,2011-05-31,4,US,quantile,0.1,0.00065
2011-01-17,CPIAUCSL,2011-05-31,4,US,quantile,0.5,0.001676
2011-01-17,CPIAUCSL,2011-05-31,4,US,quantile,0.9,0.003419
2011-01-17,CPIAUCSL,2011-05-31,4,US,quantile,0.95,0.004204
2011-01-17,CPIAUCSL,2011-06-30,5,US,quantile,0.05,0.0003
2011-01-17,CPIAUCSL,2011-06-30,5,US,quantile,0.1,0.0006
2011-01-17,CPIAUCSL,2011-06-30,5,US,quantile,0.5,0.001632
2011-01-17,CPIAUCSL,2011-06-30,5,US,quantile,0.9,0.003497
2011-01-17,CPIAUCSL,2011-06-30,5,US,quantile,0.95,0.004254
2011-01-17,CPIAUCSL,2011-07-31,6,US,quantile,0.05,0.00045
2011-01-17,CPIAUCSL,2011-07-31,6,US,quantile,0.1,0.00065
2011-01-17,CPIAUCSL,2011-07-31,6,US,quantile,0.5,0.001698
2011-01-17,CPIAUCSL,2011-07-31,6,US,quantile,0.9,0.003472
2011-01-17,CPIAUCSL,2011-07-31,6,US,quantile,0.95,0.004281
2011-01-17,CPIAUCSL,2011-08-31,7,US,quantile,0.05,0.0004
2011-01-17,CPIAUCSL,2011-08-31,7,US,quantile,0.1,0.00065
2011-01-17,CPIAUCSL,2011-08-31,7,US,quantile,0.5,0.001692
2011-01-17,CPIAUCSL,2011-08-31,7,US,quantile,0.9,0.003577
2011-01-17,CPIAUCSL,2011-08-31,7,US,quantile,0.95,0.004358
2011-01-17,CPIAUCSL,2011-09-30,8,US,quantile,0.05,0.0004
2011-01-17,CPIAUCSL,2011-09-30,8,US,quantile,0.1,0.00065
2011-01-17,CPIAUCSL,2011-09-30,8,US,quantile,0.5,0.001698
2011-01-17,CPIAUCSL,2011-09-30,8,US,quantile,0.9,0.003613
2011-01-17,CPIAUCSL,2011-09-30,8,US,quantile,0.95,0.004483
2011-01-17,CPIAUCSL,2011-10-31,9,US,quantile,0.05,0.00035
2011-01-17,CPIAUCSL,2011-10-31,9,US,quantile,0.1,0.0006
2011-01-17,CPIAUCSL,2011-10-31,9,US,quantile,0.5,0.00164
2011-01-17,CPIAUCSL,2011-10-31,9,US,quantile,0.9,0.003556
2011-01-17,CPIAUCSL,2011-10-31,9,US,quantile,0.95,0.00441
2011-01-17,CPIAUCSL,2011-11-30,10,US,quantile,0.05,0.00045
2011-01-17,CPIAUCSL,2011-11-30,10,US,quantile,0.1,0.00065
2011-01-17,CPIAUCSL,2011-11-30,10,US,quantile,0.5,0.001688
2011-01-17,CPIAUCSL,2011-11-30,10,US,quantile,0.9,0.003666
2011-01-17,CPIAUCSL,2011-11-30,10,US,quantile,0.95,0.004632
2011-01-17,CPIAUCSL,2011-12-31,11,US,quantile,0.05,0.0006
2011-01-17,CPIAUCSL,2011-12-31,11,US,quantile,0.1,0.00075
2011-01-17,CPIAUCSL,2011-12-31,11,US,quantile,0.5,0.001686
2011-01-17,CPIAUCSL,2011-12-31,11,US,quantile,0.9,0.003594
2011-01-17,CPIAUCSL,2011-12-31,11,US,quantile,0.95,0.004399
2011-01-17,CPIAUCSL,2012-01-31,12,US,quantile,0.05,0.0006
2011-01-17,CPIAUCSL,2012-01-31,12,US,quantile,0.1,0.00075
2011-01-17,CPIAUCSL,2012-01-31,12,US,quantile,0.5,0.001698
2011-01-17,CPIAUCSL,2012-01-31,12,US,quantile,0.9,0.003601
2011-01-17,CPIAUCSL,2012-01-31,12,US,quantile,0.95,0.00453
2011-01-17,CPIAUCSL,2012-02-29,13,US,quantile,0.05,0.00065
2011-01-17,CPIAUCSL,2012-02-29,13,US,quantile,0.1,0.0008
2011-01-17,CPIAUCSL,2012-02-29,13,US,quantile,0.5,0.001682
2011-01-17,CPIAUCSL,2012-02-29,13,US,quantile,0.9,0.003659
2011-01-17,CPIAUCSL,2012-02-29,13,US,quantile,0.95,0.004444
2011-01-17,CPIAUCSL,2012-03-31,14,US,quantile,0.05,0.00065
2011-01-17,CPIAUCSL,2012-03-31,14,US,quantile,0.1,0.0008
2011-01-17,CPIAUCSL,2012-03-31,14,US,quantile,0.5,0.001657
2011-01-17,CPIAUCSL,2012-03-31,14,US,quantile,0.9,0.003678
2011-01-17,CPIAUCSL,2012-03-31,14,US,quantile,0.95,0.004384
