origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2011-05-17,CPIAUCSL,2011-05-31,0,US,quantile,0.05,224.8319
2011-05-17,CPIAUCSL,2011-05-31,0,US,quantile,0.1,224.8798
2011-05-17,CPIAUCSL,2011-05-31,0,US,quantile,0.5,225.1157
2011-05-17,CPIAUCSL,2011-05-31,0,US,quantile,0.9,225.5908
2011-05-17,CPIAUCSL,2011-05-31,0,US,quantile,0.95,225.7034
2011-05-17,CPIAUCSL,2011-05-31,0,US,mean,,225.1791
2011-05-17,CPIAUCSL,2011-06-30,1,US,quantile,0.05,224.9708
2011-05-17,CPIAUCSL,2011-06-30,1,US,quantile,0.1,225.2936
2011-05-17,CPIAUCSL,2011-06-30,1,US,quantile,0.5,225.9718
2011-05-17,CPIAUCSL,2011-06-30,1,US,quantile,0.9,226.8564
2011-05-17,CPIAUCSL,2011-06-30,1,US,quantile,0.95,227.1505
2011-05-17,CPIAUCSL,2011-06-30,1,US,mean,,226.0993
2011-05-17,CPIAUCSL,2011-07-31,2,US,quantile,0.05,224.151
2011-05-17,CPIAUCSL,2011-07-31,2,US,quantile,0.1,225.3724
2011-05-17,CPIAUCSL,2011-07-31,2,US,quantile,0.5,227.2306
2011-05-17,CPIAUCSL,2011-07-31,2,US,quantile,0.9,229.1801
2011-05-17,CPIAUCSL,2011-07-31,2,US,quantile,0.95,229.4184
2011-05-17,CPIAUCSL,2011-07-31,2,US,mean,,227.1839
2011-05-17,CPIAUCSL,2011-08-31,3,US,quantile,0.05,221.4936
2011-05-17,CPIAUCSL,2011-08-31,3,US,quantile,0.1,224.9846
2011-05-17,CPIAUCSL,2011-08-31,3,US,quantile,0.5,227.4169
2011-05-17,CPIAUCSL,2011-08-31,3,US,quantile,0.9,231.8152
2011-05-17,CPIAUCSL,2011-08-31,3,US,quantile,0.95,233.8753
2011-05-17,CPIAUCSL,2011-08-31,3,US,mean,,228.0937
2011-05-17,CPIAUCSL,2011-09-30,4,US,quantile,0.05,223.9031
2011-05-17,CPIAUCSL,2011-09-30,4,US,quantile,0.1,225.2735
2011-05-17,CPIAUCSL,2011-09-30,4,US,quantile,0.5,228.7173
2011-05-17,CPIAUCSL,2011-09-30,4,US,quantile,0.9,233.7245
