origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2003-03-17,INDPRO,2003-03-31,0,US,quantile,0.05,90.9106
2003-03-17,INDPRO,2003-03-31,0,US,quantile,0.1,91.2099
2003-03-17,INDPRO,2003-03-31,0,US,quantile,0.5,91.5014
2003-03-17,INDPRO,2003-03-31,0,US,quantile,0.9,91.741
2003-03-17,INDPRO,2003-03-31,0,US,quantile,0.95,92.0546
2003-03-17,INDPRO,2003-03-31,0,US,mean,,91.5003
2003-03-17,INDPRO,2003-04-30,1,US,quantile,0.05,90.5285
2003-03-17,INDPRO,2003-04-30,1,US,quantile,0.1,91.1084
2003-03-17,INDPRO,2003-04-30,1,US,quantile,0.5,91.6547
2003-03-17,INDPRO,2003-04-30,1,US,quantile,0.9,92.1164
2003-03-17,INDPRO,2003-04-30,1,US,quantile,0.95,92.7693
2003-03-17,INDPRO,2003-04-30,1,US,mean,,91.662
2003-03-17,INDPRO,2003-05-31,2,US,quantile,0.05,90.186
2003-03-17,INDPRO,2003-05-31,2,US,quantile,0.1,91.0522
2003-03-17,INDPRO,2003-05-31,2,US,quantile,0.5,91.8281
2003-03-17,INDPRO,2003-05-31,2,US,quantile,0.9,92.5122
2003-03-17,INDPRO,2003-05-31,2,US,quantile,0.95,93.4776
2003-03-17,INDPRO,2003-05-31,2,US,mean,,91.8513
2003-03-17,INDPRO,2003-06-30,3,US,quantile,0.05,89.7959
2003-03-17,INDPRO,2003-06-30,3,US,quantile,0.1,90.9703
2003-03-17,INDPRO,2003-06-30,3,US,quantile,0.5,91.987
2003-03-17,INDPRO,2003-06-30,3,US,quantile,0.9,92.8765
2003-03-17,INDPRO,2003-06-30,3,US,quantile,0.95,94.1959
2003-03-17,INDPRO,2003-06-30,3,US,mean,,92.0284
2003-03-17,INDPRO,2003-07-31,4,US,quantile,0.05,89.386
2003-03-17,INDPRO,2003-07-31,4,US,quantile,0.1,90.8741
2003-03-17,INDPRO,2003-07-31,4,US,quantile,0.5,92.1485
2003-03-17,INDPRO,2003-07-31,4,US,quantile,0.9,93.2656
