origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2001-06-17,INDPRO,2001-06-30,0,US,quantile,0.05,89.6086
2001-06-17,INDPRO,2001-06-30,0,US,quantile,0.1,89.772
2001-06-17,INDPRO,2001-06-30,0,US,quantile,0.5,90.3483
2001-06-17,INDPRO,2001-06-30,0,US,quantile,0.9,90.9246
2001-06-17,INDPRO,2001-06-30,0,US,quantile,0.95,91.088
2001-06-17,INDPRO,2001-06-30,0,US,mean,,90.3483
2001-06-17,INDPRO,2001-07-31,1,US,quantile,0.05,89.2953
2001-06-17,INDPRO,2001-07-31,1,US,quantile,0.1,89.5263
2001-06-17,INDPRO,2001-07-31,1,US,quantile,0.5,90.3411
2001-06-17,INDPRO,2001-07-31,1,US,quantile,0.9,91.1559
2001-06-17,INDPRO,2001-07-31,1,US,quantile,0.95,91.3869
2001-06-17,INDPRO,2001-07-31,1,US,mean,,90.3411
2001-06-17,INDPRO,2001-08-31,2,US,quantile,0.05,89.0534
2001-06-17,INDPRO,2001-08-31,2,US,quantile,0.1,89.3362
2001-06-17,INDPRO,2001-08-31,2,US,quantile,0.5,90.3339
2001-06-17,INDPRO,2001-08-31,2,US,quantile,0.9,91.3316
2001-06-17,INDPRO,2001-08-31,2,US,quantile,0.95,91.6144
2001-06-17,INDPRO,2001-08-31,2,US,mean,,90.3339
2001-06-17,INDPRO,2001-09-30,3,US,quantile,0.05,88.8485
2001-06-17,INDPRO,2001-09-30,3,US,quantile,0.1,89.175
2001-06-17,INDPRO,2001-09-30,3,US,quantile,0.5,90.3267
2001-06-17,INDPRO,2001-09-30,3,US,quantile,0.9,91.4785
2001-06-17,INDPRO,2001-09-30,3,US,quantile,0.95,91.805
2001-06-17,INDPRO,2001-09-30,3,US,mean,,90.3267
2001-06-17,INDPRO,2001-10-31,4,US,quantile,0.05,88.6672
2001-06-17,INDPRO,2001-10-31,4,US,quantile,0.1,89.0322
2001-06-17,INDPRO,2001-10-31,4,US,quantile,0.5,90.3195
2001-06-17,INDPRO,2001-10-31,4,US,quantile,0.9,91.6069
2001-06-17,INDPRO,2001-10-31,4,US,quantile,0.95,91.9719
2001-06-17,INDPRO,2001-10-31,4,US,mean,,90.3195
2001-06-17,INDPRO,2001-11-30,5,US,quantile,0.05,88.5028
2001-06-17,INDPRO,2001-11-30,5,US,quantile,0.1,88.9025
2001-06-17,INDPRO,2001-11-30,5,US,quantile,0.5,90.3124
2001-06-17,INDPRO,2001-11-30,5,US,quantile,0.9,91.7223
2001-06-17,INDPRO,2001-11-30,5,US,quantile,0.95,92.1219
2001-06-17,INDPRO,2001-11-30,5,US,mean,,90.3124
2001-06-17,INDPRO,2001-12-31,6,US,quantile,0.05,88.3511
2001-06-17,INDPRO,2001-12-31,6,US,quantile,0.1,88.7827
2001-06-17,INDPRO,2001-12-31,6,US,quantile,0.5,90.3052
2001-06-17,INDPRO,2001-12-31,6,US,quantile,0.9,91.8277
2001-06-17,INDPRO,2001-12-31,6,US,quantile,0.95,92.2593
2001-06-17,INDPRO,2001-12-31,6,US,mean,,90.3052
2001-06-17,INDPRO,2002-01-31,7,US,quantile,0.05,88.2095
2001-06-17,INDPRO,2002-01-31,7,US,quantile,0.1,88.6708
2001-06-17,INDPRO,2002-01-31,7,US,quantile,0.5,90.298
2001-06-17,INDPRO,2002-01-31,7,US,quantile,0.9,91.9252
2001-06-17,INDPRO,2002-01-31,7,US,quantile,0.95,92.3865
2001-06-17,INDPRO,2002-01-31,7,US,mean,,90.298
2001-06-17,INDPRO,2002-02-28,8,US,quantile,0.05,88.0762
2001-06-17,INDPRO,2002-02-28,8,US,quantile,0.1,88.5654
2001-06-17,INDPRO,2002-02-28,8,US,quantile,0.5,90.2908
2001-06-17,INDPRO,2002-02-28,8,US,quantile,0.9,92.0163
2001-06-17,INDPRO,2002-02-28,8,US,quantile,0.95,92.5055
2001-06-17,INDPRO,2002-02-28,8,US,mean,,90.2908
2001-06-17,INDPRO,2002-03-31,9,US,quantile,0.05,87.9498
2001-06-17,INDPRO,2002-03-31,9,US,quantile,0.1,88.4653
2001-06-17,INDPRO,2002-03-31,9,US,quantile,0.5,90.2837
